Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Ideal_Season,Age_Group_Suitability,Budget_Category,Recommended_Duration_Days,Ideal_Group_Size,Cluster
135,Western,Maharashtra,Ajanta,Ellora Caves,Cave,600,3.0,4.7,30,Yes,Tuesday,Historical,Yes,0.49,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
136,Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,Temples,-850,2.0,4.7,40,No,,Cultural,Yes,0.09,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
137,Central,Madhya Pradesh,Bhopal,Sanchi Stupa,Monument,-300,1.5,4.7,30,Yes,,Historical,Yes,0.01,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
138,Central,Madhya Pradesh,Indore,Rajwada Palace,Palace,1747,1.0,4.4,10,Yes,,Historical,Yes,0.63,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
139,Central,Madhya Pradesh,Gwalior,Gwalior Fort,Fort,900,2.5,4.5,75,Yes,,Historical,Yes,0.4,Morning,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,1
140,Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,Temple,-3500,1.5,4.8,0,Yes,,Religious,No,1.2,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
141,Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,Waterfall,Unknown,1.0,4.5,0,No,,Nature,Yes,0.01,Morning,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
142,Central,Madhya Pradesh,Pachmarhi,Bee Falls,Waterfall,Unknown,1.5,4.6,15,No,,Nature,Yes,0.065,Morning,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
143,Central,Madhya Pradesh,Kanha,Kanha National Park,Wildlife Sanctuary,1955,3.0,4.5,100,No,,Wildlife,Yes,0.1,Morning,All Seasons,"Young Adults,Adults",Mid-Range,0.5 Day,Any,10
144,Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,National Park,1968,3.0,4.5,50,No,,Wildlife,Yes,0.05,Morning,All Seasons,"Young Adults,Adults",Mid-Range,0.5 Day,4+ people,10
145,Central,Madhya Pradesh,Orchha,Orchha Fort,Fort,1500,1.5,4.8,10,No,,Historical,Yes,0.1,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
146,Central,Madhya Pradesh,Mandu,Jahaz Mahal,Site,1500,1.0,3.9,50,No,,Historical,Yes,0.03,Afternoon,All Seasons,"Adults,Young Adults",Mid-Range,0.5 Day,Any,4
147,Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,Prehistoric Site,1958,2.0,4.6,25,No,,Archaeological,Yes,0.07,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
148,Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,Temple,1200,1.0,4.4,0,No,,Religious,Yes,0.01,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
149,Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,Waterfall,Unknown,1.5,4.4,0,No,,Nature,Yes,0.1,Morning,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
150,Northern,Himachal Pradesh,Shimla,The Ridge,Scenic Point,Unknown,1.0,4.7,0,Yes,,Recreational,Yes,0.03,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
151,Northern,Himachal Pradesh,Manali,Solang Valley,Valley,Unknown,2.0,4.1,0,No,,Adventure,Yes,0.05,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
152,Northern,Himachal Pradesh,dalhousie,Dalai Lama Temple,Temple,1959,1.5,4.7,0,Yes,,Religious,No,0.15,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
153,Northern,Himachal Pradesh,Dalhousie,Khajjiar Lake,Lake,Unknown,1.5,4.5,0,No,,Nature,Yes,0.1,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
154,Northern,Himachal Pradesh,Spiti Valley,Key Monastery,Monastery,1100,1.0,4.8,0,No,,Religious,Yes,0.025,Morning,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
155,Northern,Himachal Pradesh,Kullu,Great Himalayan National Park,National Park,1984,3.0,4.5,50,No,,Wildlife,Yes,0.2,All,"Winter,Spring","Young Adults,Adults",Mid-Range,0.5 Day,4+ people,6
156,Northern,Himachal Pradesh,Chamba,Chamera Lake,Lake,Unknown,2.0,4.4,0,No,,Recreational,Yes,0.01,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
157,Northern,Himachal Pradesh,Kinnaur,Sangla Valley,Valley,Unknown,2.0,4.5,0,No,,Nature,Yes,0.01,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
158,Northern,Himachal Pradesh,Kangra,Kangra Fort,Fort,400,2.0,4.4,150,Yes,,Historical,Yes,0.1,All,"Winter,Spring",All Age Groups,Mid-Range,0.5 Day,Any,13
159,Northern,Himachal Pradesh,Palampur,Tea Gardens,Tea Plantation,1950,1.5,4.6,0,Yes,,Agricultural,Yes,0.015,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
160,Northern,Himachal Pradesh,Mandi,Prashar Lake,Lake,1400,1.5,4.6,0,No,,Nature,Yes,0.01,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
161,Northern,Himachal Pradesh,Bir Billing,Paragliding Site,Adventure Sport,2005,2.0,4.8,2500,No,,Adventure,Yes,0.01,All,"Winter,Spring","Young Adults,Adults",Premium,0.5 Day,Any,7
162,Northern,Himachal Pradesh,McLeod Ganj,Triund Trek,Trekking,Unknown,5.0,4.8,0,Yes,,Adventure,Yes,0.01,Morning,"Winter,Spring","Young Adults,Adults",Budget,1 Day,Any,7
163,Northern,Himachal Pradesh,Manikaran,Manikaran Sahib,Gurudwara,1980,1.0,4.6,0,No,,Religious,Yes,1.3,Morning,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,13
164,Northern,Himachal Pradesh,Narkanda,Hatu Peak,Viewpoint,Unknown,2.0,4.5,0,Yes,,Nature,Yes,1.1,All,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
165,Northern,Himachal Pradesh,Barot,Barot Valley,Valley,Unknown,2.0,4.7,0,No,,Nature,Yes,1.2,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
166,Northern,Himachal Pradesh,Shoja,Serolsar Lake,Lake,Unknown,2.5,4.4,0,No,,Nature,Yes,0.9,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
167,Northern,Himachal Pradesh,Kufri,Kufri Fun World,Ski Resort,1975,5.0,3.8,1500,Yes,,Recreational,Yes,0.1,All,"Winter,Spring","Adults,Young Adults",Premium,1 Day,Any,6
168,Northern,Uttarakhand,Nainital,Naini Lake,Lake,Unknown,1.5,4.2,0,Yes,,Nature,Yes,0.01,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
169,Northern,Uttarakhand,Rishikesh,Laxman Jhula,Suspension Bridge,1939,1.0,4.4,0,Yes,,Cultural,Yes,0.03,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
170,Northern,Uttarakhand,Haridwar,Har Ki Pauri,Ghat,Unknown,1.0,4.5,0,Yes,,Religious,Yes,0.025,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,5
171,Northern,Uttarakhand,Dehradun,Robber's Cave,Cave,Unknown,1.5,4.5,25,Yes,,Nature,Yes,0.01,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
172,Northern,Uttarakhand,Mussoorie,Kempty Falls,Waterfall,Unknown,1.5,4.2,15,Yes,,Nature,Yes,0.55,Morning,"Winter,Spring","Young Adults,Adults",Budget,0.5 Day,Any,7
173,Northern,Uttarakhand,Auli,Auli Ski Resort,Ski Resort,1990,3.0,4.5,0,No,,Adventure,Yes,0.01,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
174,Northern,Uttarakhand,Badrinath,Badrinath Temple,Temple,-820,1.0,4.8,0,No,,Religious,No,0.29,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,5
175,Northern,Uttarakhand,Almora,Binsar Wildlife Sanctuary,Wildlife Sanctuary,1988,2.0,4.3,150,No,,Wildlife,Yes,0.01,All,"Winter,Spring","Young Adults,Adults",Mid-Range,0.5 Day,Any,6
176,Northern,Uttarakhand,Ranikhet,Chaubatia Gardens,Orchard,1868,1.0,4.0,50,No,,Recreational,Yes,0.025,All,"Winter,Spring","Adults,Young Adults",Mid-Range,0.5 Day,Any,7
177,Northern,Uttarakhand,Jim Corbett,Jim Corbett National Park,National Park,1936,3.0,4.4,100,Yes,,Wildlife,Yes,0.3,All,"Winter,Spring","Young Adults,Adults",Mid-Range,0.5 Day,4+ people,6
178,Northern,Uttarakhand,Uttarkashi,Gangotri Temple,Temple,1751,1.0,4.8,0,No,,Religious,No,0.05,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,5
179,Northern,Uttarakhand,Chopta,Tungnath Temple,Temple,751,2.0,4.8,0,No,,Religious,No,0.09,All,"Winter,Spring",All Age Groups,Budget,0.5 Day,Any,5
180,Northern,Uttarakhand,Joshimath,Valley of Flowers,National Park,1982,5.0,4.7,150,No,,Nature,Yes,0.035,Morning,"Winter,Spring","Young Adults,Adults",Mid-Range,1 Day,4+ people,6
181,Central,Uttar Pradesh,Agra,Taj Mahal,Mausoleum,1632,2.0,4.6,50,Yes,Friday,Historical,Yes,2.25,Morning,All Seasons,"Adults,Young Adults",Mid-Range,0.5 Day,Any,4
182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.9,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
183,Central,Uttar Pradesh,Lucknow,Bara Imambara,Monument,1784,1.5,4.4,50,Yes,Monday,Historical,No,0.45,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,1
184,Central,Uttar Pradesh,Mathura,Krishna Janmabhoomi,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.13,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
185,Central,Uttar Pradesh,Ayodhya,Ram Janmabhoomi,Religious Site,Unknown,1.0,4.8,0,Yes,,Religious,No,0.025,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
186,Central,Uttar Pradesh,Vrindavan,Banke Bihari Temple,Temple,1864,1.0,4.8,0,Yes,,Religious,No,0.37,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
187,Central,Uttar Pradesh,Allahabad,Triveni Sangam,Confluence,Unknown,1.0,4.5,0,Yes,,Religious,Yes,0.09,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
188,Central,Uttar Pradesh,Jhansi,Jhansi Fort,Fort,1613,1.5,4.4,15,Yes,,Historical,Yes,0.25,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
189,Central,Uttar Pradesh,Sarnath,Dhamek Stupa,Monument,-500,1.0,4.6,5,Yes,,Historical,Yes,0.065,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
190,Central,Uttar Pradesh,Fatehpur Sikri,Buland Darwaza,Monument,1571,2.0,4.4,40,Yes,,Historical,Yes,0.07,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
191,Central,Uttar Pradesh,Noida,Okhla Bird Sanctuary,Bird Sanctuary,1990,1.5,4.3,30,Yes,,Wildlife,Yes,0.035,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
192,Central,Uttar Pradesh,Aligarh,Aligarh Fort,Fort,1524,1.0,4.1,20,Yes,,Historical,Yes,0.0165,Afternoon,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
193,Central,Uttar Pradesh,Meerut,Augarnath Temple,Temple,Unknown,1.0,4.8,0,Yes,,Religious,No,0.045,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
194,Central,Uttar Pradesh,Kanpur,Allen Forest Zoo,Zoo,1971,2.0,4.2,150,Yes,Monday,Wildlife,Yes,0.21,All,All Seasons,"Families,Kids,Adults",Mid-Range,0.5 Day,Any,12
195,Northern,Jammu and Kashmir,Srinagar,Dal Lake,Lake,Unknown,2.0,4.6,0,Yes,,Nature,Yes,0.15,Morning,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
196,Northern,Ladakh,Leh,Pangong Tso,Lake,Unknown,2.0,4.9,20,Yes,,Nature,Yes,0.15,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
197,Northern,Jammu and Kashmir,Pahalgam,Betaab Valley,Valley,Unknown,2.0,4.6,100,No,,Nature,Yes,0.11,All,"Winter,Spring","Adults,Young Adults",Mid-Range,0.5 Day,Any,7
198,Northern,Jammu and Kashmir,Jammu,Vaishno Devi,Temple,Unknown,5.0,4.7,0,Yes,,Religious,No,0.55,All,"Winter,Spring",All Age Groups,Budget,1 Day,Any,13
199,Northern,Jammu and Kashmir,Udhampur,Patnitop Height,Hill,Unknown,2.0,4.1,0,No,,Recreational,Yes,0.01,All,"Winter,Spring","Adults,Young Adults",Budget,0.5 Day,Any,7
200,Northern,Jammu and Kashmir,Anantnag,Amarnath Cave,Temple,Unknown,6.0,4.5,0,No,,Religious,Yes,0.11,All,"Winter,Spring",All Age Groups,Budget,1 Day,Any,6
201,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,20,Yes,,Religious,No,0.05,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
202,Northern,Ladakh,Nubra Valley,Nubra Valley,Valley,Unknown,2.0,4.5,0,No,,Nature,Yes,0.1,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
203,Northern,Ladakh,Kargil,Kargil War Memorial,War Memorial,24,1.0,4.8,0,No,,Historical,Yes,0.011,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
204,Northern,Ladakh,Diskit,Diskit Monastery,Monastery,1351,1.0,4.7,20,No,,Religious,No,0.015,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
205,Northern,Jammu and Kashmir,Kishtwar,Kishtwar National Park,National Park,1981,3.0,4.3,100,No,,Wildlife,Yes,0.01,All,"Winter,Spring","Young Adults,Adults",Mid-Range,0.5 Day,4+ people,6
206,Northern,Ladakh,Hemis,Hemis National Park,National Park,1981,4.0,4.4,20,No,,Wildlife,Yes,0.02,All,All Seasons,"Young Adults,Adults",Budget,0.5 Day,4+ people,10
207,Northern,Ladakh,Dras,Dras War Memorial,War Memorial,Unknown,1.0,4.8,0,No,,Historical,Yes,0.012,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
208,Northern,Ladakh,Leh,Magnetic Hill,Gravity Hill,Unknown,0.5,3.7,0,Yes,,Nature,Yes,0.1,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
209,Northern,Ladakh,Leh,Khardung La Pass,Hill,Unknown,1.0,4.5,0,Yes,,Adventure,Yes,0.05,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,3
210,Northern,Ladakh,Leh,Thiksey Monastery,Monastery,1430,1.5,4.7,30,Yes,,Religious,No,0.05,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,11
211,Central,Uttar Pradesh,Vrindavan,Prem Mandir,Temple,2012,1.5,4.8,0,Yes,,Religious,Yes,0.49,Evening,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
212,Central,Uttar Pradesh,Porbandar,Kirti Mandir,Memorial,1950,1.0,4.8,0,Yes,,Historical,Yes,0.03,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
213,Central,Uttar Pradesh,Mathura,Nand Gaon,Village,Unknown,1.0,4.1,0,Yes,,Cultural,Yes,0.01,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
214,Central,Uttar Pradesh,Mathura,Barsana Mandir,Temple,Unknown,1.0,4.8,0,Yes,,Religious,Yes,0.1,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
215,Eastern,West Bengal,Darjeeling,Tiger Hill,Sunrise Point,Unknown,1.0,4.5,0,No,,Nature,Yes,0.025,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
216,Eastern,West Bengal,Siliguri,Jaldapara National Park,Wildlife Sanctuary,1941,3.0,4.4,250,Yes,,Wildlife,Yes,0.035,All,"Winter,Spring,Summer","Young Adults,Adults",Premium,0.5 Day,Any,6
217,Eastern,West Bengal,Sundarbans,Sundarbans National Park,National Park,1984,4.0,4.4,60,No,,Wildlife,Yes,0.065,All,"Winter,Spring,Summer","Young Adults,Adults",Mid-Range,0.5 Day,4+ people,6
218,Eastern,West Bengal,Digha,Digha Beach,Beach,Unknown,1.5,4.5,0,No,,Recreational,Yes,0.09,Morning,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
219,Eastern,West Bengal,Murshidabad,Hazarduari Palace,Palace,1837,1.5,4.5,10,Yes,Friday,Historical,Yes,0.18,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,,Religious,No,0.045,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,,Architectural,No,0.07,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
222,Eastern,West Bengal,Jalpaiguri,Gorumara National Park,National Park,1949,3.0,4.4,100,Yes,,Wildlife,Yes,0.07,All,"Winter,Spring,Summer","Young Adults,Adults",Mid-Range,0.5 Day,4+ people,6
223,Eastern,West Bengal,Cooch Behar,Cooch Behar Palace,Palace,1887,1.0,4.5,20,Yes,Friday,Historical,Yes,0.09,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
224,Eastern,West Bengal,Purulia,Ayodhya Hills,Hill,Unknown,2.5,4.5,0,No,,Nature,Yes,0.15,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
225,Eastern,Odisha,Puri,Jagannath Temple,Temple,12th century,2.0,4.7,0,Yes,,Religious,No,1.0,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
226,Eastern,Odisha,Konark,Sun Temple,Temple,1250,1.5,4.7,40,Yes,,Historical,Yes,0.83,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
227,Eastern,Odisha,Bhubaneswar,Lingaraj Temple,Temple,11th century,1.0,4.6,0,Yes,,Religious,No,0.35,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
228,Eastern,Odisha,Rourkela,Khandadhar Waterfall,Waterfall,Unknown,1.5,4.5,0,No,,Nature,Yes,1.2,All,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
229,Eastern,Odisha,Cuttack,Barabati Fort,Fort,-987,1.0,4.5,0,Yes,,Historical,Yes,0.13,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
230,Eastern,Odisha,Sambalpur,Hirakud Dam,Dam,1957,1.0,4.5,0,No,,Engineering Marvel,Yes,0.01,All,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
231,Eastern,Odisha,Chilika,Chilika Lake,Lake,Unknown,2.0,3.9,0,Yes,,Nature,Yes,0.1,Morning,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
232,Eastern,Odisha,Berhampur,Tara Tarini Temple,Temple,Ancient,1.0,4.6,0,Yes,,Religious,No,0.01,All,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
233,Eastern,Odisha,Keonjhar,Badaghagara Waterfall,Waterfall,Unknown,1.0,4.3,0,No,,Nature,Yes,0.018,Morning,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
234,Eastern,Odisha,Balasore,Chandipur Beach,Beach,Unknown,1.5,4.2,0,Yes,,Recreational,Yes,0.014,Morning,All Seasons,"Families,Kids,Adults",Budget,0.5 Day,4+ people,9
235,Eastern,Odisha,Kendujhar,Sanaghagara Waterfall,Waterfall,Unknown,1.0,4.4,0,No,,Nature,Yes,0.055,All,All Seasons,"Young Adults,Adults",Budget,0.5 Day,Any,4
236,Southern,Tamil Nadu,Chennai,Marina Beach,Beach,Unknown,1.5,3.9,0,Yes,,Recreational,Yes,0.1,Morning,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
237,Southern,Tamil Nadu,Madurai,Meenakshi Amman Temple,Temple,6th century AD,2.0,4.7,0,Yes,,Religious,No,0.65,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
238,Southern,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,12th century,1.5,4.6,0,No,,Religious,No,0.01,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
239,Southern,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,Memorial,1970,1.0,4.6,20,Yes,,Historical,No,0.47,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
240,Southern,Tamil Nadu,Ooty,Ooty Lake,Lake,1824,1.0,4.1,10,Yes,,Recreational,Yes,0.61,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
241,Southern,Tamil Nadu,Coimbatore,Marudamalai Temple,Temple,12th century,1.0,4.7,0,Yes,,Religious,No,0.3,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
242,Southern,Tamil Nadu,Kodaikanal,Kodaikanal Lake,Lake,1863,2.0,3.9,0,No,,Recreational,Yes,0.1,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
243,Southern,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,Temple,110,1.5,4.8,0,Yes,,Religious,No,0.35,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
244,Southern,Tamil Nadu,Mahabalipuram,Shore Temple,Temple,7th century,1.0,4.6,40,Yes,,Historical,No,0.09,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
245,Southern,Tamil Nadu,Yercaud,Yercaud Lake,Lake,Unknown,1.0,4.2,0,No,,Recreational,Yes,0.019,Morning,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
246,Southern,Tamil Nadu,Tirunelveli,Nellaiappar Temple,Temple,7th century,1.0,4.6,0,Yes,,Religious,No,0.16,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
247,Southern,Tamil Nadu,Chidambaram,Nataraja Temple,Temple,10th century,1.0,4.7,0,Yes,,Religious,No,0.28,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,5
248,Southern,Andhra Pradesh,Vijayawada,Kanaka Durga Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.44,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
249,Southern,Andhra Pradesh,Visakhapatnam,Rishikonda Beach,Beach,Unknown,1.5,4.5,0,Yes,,Recreational,Yes,0.39,Morning,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,4+ people,2
250,Southern,Andhra Pradesh,Srisailam,Mallikarjuna Swamy Temple,Temple,14th century,1.0,4.7,0,No,,Religious,No,0.49,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
251,Southern,Andhra Pradesh,Rajahmundry,Papikondalu,Hill,Unknown,2.0,4.3,0,Yes,,Nature,Yes,0.032,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
252,Southern,Andhra Pradesh,Anantapur,Lepakshi,Site,16th century,1.5,4.6,0,No,,Historical,Yes,0.075,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
253,Southern,Andhra Pradesh,Kurnool,Belum Caves,Cave,Unknown,1.5,4.4,65,Yes,,Natural Wonder,Yes,0.11,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Mid-Range,0.5 Day,Any,0
254,Southern,Andhra Pradesh,Amravati,Amaravathi Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.041,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
255,Southern,Andhra Pradesh,Guntur,Uppalapadu Bird Sanctuary,Bird Sanctuary,Unknown,1.0,4.4,10,Yes,,Wildlife,Yes,0.7,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
256,Southern,Andhra Pradesh,Kadapa,Gandikota Fort,Fort,12th century,1.5,4.5,0,No,,Historical,Yes,0.015,Morning,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
257,Southern,Andhra Pradesh,Puttaparthi,Prasanthi Nilayam,Spiritual Center,1950,1.0,4.7,0,Yes,,Religious,Yes,0.12,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
258,Southern,Andhra Pradesh,Vizianagaram,Simhachalam Temple,Temple,198,1.0,4.7,0,Yes,,Religious,No,0.59,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
259,Southern,Andhra Pradesh,Visakhapatnam,Kailasagiri,Hill,Unknown,2.0,4.5,0,Yes,,Recreational,Yes,0.019,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
260,Southern,Andhra Pradesh,Visakhapatnam,Submarine Museum,Museum,22,1.0,4.6,40,Yes,,Historical,Yes,0.49,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
261,Southern,Andhra Pradesh,Visakhapatnam,Borra Caves,Cave,Unknown,2.0,4.5,60,No,,Natural Wonder,Yes,0.31,Afternoon,"Winter,Spring,Summer","Adults,Young Adults",Mid-Range,0.5 Day,Any,0
262,Southern,Andhra Pradesh,Visakhapatnam,War Memorial,War Memorial,Unknown,1.0,4.6,0,Yes,,Historical,Yes,0.059,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
263,Southern,Andhra Pradesh,Visakhapatnam,Indira Gandhi Zoological Park,Zoo,1977,2.0,4.1,20,Yes,Monday,Wildlife,Yes,0.25,Afternoon,"Winter,Spring,Summer","Families,Kids,Adults",Budget,0.5 Day,Any,2
264,Southern,Andhra Pradesh,Visakhapatnam,Matsyadarshini Aquarium,Aquarium,Unknown,1.0,3.8,20,Yes,,Recreational,Yes,0.03,All,"Winter,Spring,Summer","Adults,Young Adults",Budget,0.5 Day,Any,0
265,Southern,Andhra Pradesh,Visakhapatnam,Visakha Museum,Museum,1991,1.0,4.3,10,Yes,,Cultural,Yes,0.065,All,"Winter,Spring,Summer",All Age Groups,Budget,0.5 Day,Any,13
266,Eastern,Sikkim,Gangtok,Nathula Pass,Hill,Unknown,2.0,4.3,20,Yes,,Historical,Yes,0.15,Afternoon,All Seasons,"Adults,Young Adults",Budget,0.5 Day,Any,4
267,Eastern,Sikkim,Pelling,Pemayangtse Monastery,Monastery,1705,1.0,4.6,20,No,,Religious,No,0.015,Morning,All Seasons,All Age Groups,Budget,0.5 Day,Any,1
268,Eastern,Sikkim,Namchi,Char Dham,Religious Complex,211,2.0,4.7,50,Yes,,Religious,No,0.12,All,All Seasons,All Age Groups,Mid-Range,0.5 Day,Any,1
